Año;Maxima Amplitud
2006;18.00253409090909
2007;16.918295454545454
2008;17.19406818181818
2009;17.168511363636362
2010;16.56543181818182
2011;16.66181818181818
2012;17.50855681818182
2013;16.961750000000002
2014;16.875594405594406
2015;16.759261363636362
2016;16.62925
2017;17.186840909090908
2018;17.68165909090909
2019;17.425045454545455
2020;16.966090909090905
2021;17.41552272727273
2022;17.170772727272723
2023;17.626693181818187
2024;16.936829545454547
2025;17.07803409090909
2026;16.758397727272726
2027;17.76232954545454
2028;16.992579545454543
2029;16.861943181818184
2030;16.98453409090909
2031;17.099829545454547
2032;17.577988636363635
2033;16.801454545454543
2034;16.872867132867132
2035;16.85405681818182
2036;17.654545454545456
2037;17.264056818181814
2038;17.486818181818183
2039;17.411329545454546
2040;17.424181818181818
2041;16.93977272727273
2042;17.424738636363635
2043;17.181706293706295
2044;17.586056818181817
2045;17.576977272727273
2046;16.813750000000002
2047;17.875829545454547
2048;17.130602272727277
2049;17.137954545454544
2050;17.36496590909091
2051;17.69346590909091
2052;16.65990909090909
2053;17.813852272727274
2054;17.315227272727274
2055;17.04977272727273
2056;17.408534090909093
2057;17.56675
2058;17.00303409090909
2059;17.31122727272727
2060;16.880556818181816
2061;17.514340909090905
2062;16.925613636363636
2063;17.163454545454545
2064;16.99455681818182
2065;16.63730681818182
2066;17.668306818181815
2067;16.955920454545453
2068;17.032977272727273
2069;16.698113636363633
2070;17.134431818181817
2071;17.698056818181815
2072;17.43485227272727
2073;17.479806818181817
2074;17.71651136363636
2075;17.151625000000003
2076;16.933420454545452
2077;17.825386363636365
2078;16.98584090909091
2079;16.842409090909094
2080;16.619125
2081;17.283125
2082;16.96817045454545
2083;17.07997727272727
2084;17.182943181818185
2085;16.559375
2086;17.230681818181814
2087;17.241795454545457
2088;16.938806818181817
2089;16.49997727272727
2090;18.30156818181818
2091;17.627488636363633
2092;17.13480681818182
2093;17.065636363636365
2094;17.304613636363634
2095;17.84645454545455
2096;16.963545454545457
2097;17.107545454545455
2098;17.158727272727273
2099;17.64977272727273
2100;18.04351048951049
