Año;Desviacion_tipica
2006;6.863354976098255
2007;6.957868299721824
2008;6.829794964865639
2009;7.124984043176451
2010;6.685792888937269
2011;6.609110585984637
2012;6.965706267413645
2013;6.695183573541852
2014;6.91033711287109
2015;6.998830449112764
2016;6.871114732583866
2017;6.694152639799938
2018;6.852504900555081
2019;7.089762770334122
2020;6.685960976531631
2021;6.68766740189687
2022;6.868986087451175
2023;6.7372405477239035
2024;6.74756539225488
2025;6.744682555946698
2026;6.9467797431437575
2027;7.203773317566837
2028;6.869814470732858
2029;6.842585870242066
2030;7.007732730772245
2031;6.723076884680555
2032;6.819250444383474
2033;6.97999827064031
2034;6.879571852055443
2035;6.722373837155148
2036;6.901465133239502
2037;6.715014153833397
2038;7.010505757160997
2039;7.049583320314303
2040;7.200548385756174
2041;7.10913806954378
2042;7.156691442759947
2043;7.305877154392055
2044;7.200252761928018
2045;6.980708636413295
2046;7.132487513944264
2047;7.325534069921852
2048;7.035094944476772
2049;7.067498006156014
2050;6.909439554956648
2051;7.3880547068292755
2052;7.049541748934942
2053;6.9777944254808615
2054;7.177339782194837
2055;7.0004314027357415
2056;7.12133181089673
2057;6.9924804174135815
2058;7.344405670803504
2059;7.303015322907646
2060;6.966313443044756
2061;6.958665614539231
2062;6.995119267479394
2063;7.184403568613772
2064;7.30801491703702
2065;6.9299548080481355
2066;7.100027768081829
2067;7.041185282799783
2068;6.929799678782516
2069;7.199658214080917
2070;7.199113843699708
2071;7.205477835454632
2072;7.171499495491221
2073;7.049592996861217
2074;7.206830195457875
2075;7.1949855067266055
2076;7.19210628485901
2077;7.139116653055601
2078;6.872540015304634
2079;7.19088810498715
2080;6.936266904025321
2081;6.939367767816878
2082;7.120908683186744
2083;6.914416673454202
2084;6.920745014606594
2085;7.4562897753666295
2086;7.249530034723506
2087;7.311563225007987
2088;6.9615526236177345
2089;7.073303664947169
2090;7.287147287714199
2091;7.101287518518832
2092;6.958766786629264
2093;6.993264180060436
2094;7.3709645810156434
2095;7.198741523740989
2096;7.183422512922111
2097;7.081127004037616
2098;7.068090389655014
2099;7.268421736498434
2100;6.984418863231273
