Año;nDiasLluvia
2006;73.75909090909092
2007;74.99659090909091
2008;68.99772727272727
2009;75.35454545454546
2010;77.43863636363635
2011;72.53181818181818
2012;76.43181818181819
2013;85.49431818181816
2014;79.37613636363635
2015;76.40227272727273
2016;72.18977272727273
2017;70.14204545454545
2018;76.91136363636365
2019;74.78636363636363
2020;73.26249999999999
2021;76.68863636363636
2022;65.48181818181818
2023;69.14204545454547
2024;73.58636363636363
2025;66.21590909090908
2026;72.81704545454546
2027;77.92613636363637
2028;77.25340909090909
2029;72.27272727272727
2030;72.07840909090908
2031;63.029545454545456
2032;72.2818181818182
2033;72.00113636363636
2034;78.69545454545455
2035;68.70113636363635
2036;70.69318181818181
2037;74.95227272727273
2038;67.12727272727273
2039;79.62954545454544
2040;69.21818181818183
2041;70.88863636363635
2042;63.15909090909091
2043;62.685227272727275
2044;73.94545454545454
2045;66.2215909090909
2046;71.2181818181818
2047;75.01363636363637
2048;65.11704545454546
2049;78.83522727272727
2050;72.31477272727273
2051;74.38636363636363
2052;66.0931818181818
2053;69.0090909090909
2054;59.77386363636363
2055;76.2159090909091
2056;63.25113636363636
2057;70.4909090909091
2058;72.59431818181818
2059;65.36022727272727
2060;67.31477272727273
2061;64.30909090909091
2062;67.03863636363637
2063;62.14431818181817
2064;70.72727272727273
2065;68.4875
2066;68.55340909090908
2067;70.79886363636363
2068;77.34772727272725
2069;73.92727272727272
2070;70.52499999999999
2071;62.3784090909091
2072;69.27272727272728
2073;71.29318181818184
2074;63.29318181818182
2075;72.05681818181819
2076;75.275
2077;64.76136363636363
2078;68.21818181818182
2079;76.22954545454544
2080;68.02613636363637
2081;80.3625
2082;58.48068181818181
2083;77.93522727272726
2084;76.67272727272727
2085;69.56136363636364
2086;67.40795454545454
2087;63.05795454545455
2088;73.85454545454544
2089;73.61818181818181
2090;65.36477272727272
2091;69.90454545454546
2092;71.17045454545453
2093;68.49545454545455
2094;65.18863636363636
2095;61.37613636363638
2096;65.775
2097;70.07272727272728
2098;72.675
2099;65.24108391608391
2100;71.75524475524475
