Año;Avg_Preci
2006;1.3294941732924608
2007;1.3634371611265443
2008;1.1947887960627717
2009;1.3777656743940991
2010;1.4618897284222627
2011;1.3294930045981417
2012;1.421373283592546
2013;1.6879985008142546
2014;1.5492632771338246
2015;1.4872585808027592
2016;1.3374757927637027
2017;1.2786872712903534
2018;1.4086657175016764
2019;1.4740755508190437
2020;1.2651688180671785
2021;1.4054281252993583
2022;1.1251683302998374
2023;1.2925175591531755
2024;1.3235136675710446
2025;1.1613997676980556
2026;1.2804992168790112
2027;1.4798351733882555
2028;1.434855100022928
2029;1.3913918766165343
2030;1.3021692930357311
2031;1.206486195995785
2032;1.348066263358681
2033;1.3847323929495163
2034;1.4702547059105278
2035;1.243221695085736
2036;1.3944268224489538
2037;1.482978173196666
2038;1.2798764680524957
2039;1.7618047154899892
2040;1.2306597470607716
2041;1.4585323426573424
2042;1.1349518153079798
2043;1.1697930836287
2044;1.3307438035780248
2045;1.3499030726123191
2046;1.3097719489414696
2047;1.3923672118976913
2048;1.1761138232896429
2049;1.4571499688667495
2050;1.3746642183159308
2051;1.4249925519685793
2052;1.2015517144967964
2053;1.290097008813105
2054;1.096893723057764
2055;1.504945052208066
2056;1.1353956460888837
2057;1.4067481822971548
2058;1.4325514536833033
2059;1.2404514800268225
2060;1.2682989193638783
2061;1.1804840658021896
2062;1.315954636459431
2063;1.1452635167157246
2064;1.4109906477915135
2065;1.3408375681228861
2066;1.3610462461506418
2067;1.3373035508754525
2068;1.4775983383368676
2069;1.4600997030366896
2070;1.2920245271407729
2071;1.177554503678055
2072;1.3897729143579556
2073;1.3674223058033592
2074;1.1448378935174128
2075;1.406479987827604
2076;1.4691319503356388
2077;1.2185816566312486
2078;1.2930363660312292
2079;1.613032663691911
2080;1.3400276065126784
2081;1.5841300842992623
2082;1.0198212592202318
2083;1.6242781971453204
2084;1.6547378741704561
2085;1.3330604966950859
2086;1.2467620509627357
2087;1.1078570768272826
2088;1.4351766184862496
2089;1.3371594573234986
2090;1.2513081880448318
2091;1.375507215729476
2092;1.3788085279019706
2093;1.378095808985535
2094;1.2235400253855733
2095;1.1459635118306353
2096;1.1944615510400347
2097;1.3469267075390363
2098;1.4381875826228567
2099;1.2038098644506177
2100;1.3982618641632338
